"id","nome","cognome","tipo","data_nascita","luogo_nascita","sesso","tessera","email","telefono","comune_residenza","indirizzo_residenza","certificato_medico","note","slug","data_creazione","data_modifica",
"1","Napoleone","Crestoni","2","1981-12-17","Roma","Maschio","1","fabio.crestoni@gmail.com","3451020970","Milano","Via Gallia 19","0","Il più forte della palestra","id_1359296811-347683297","2013-01-27 02:26:51","2013-01-28 11:20:12",
"4","Paol","Martoni","2","1981-12-12","Milano","Maschio","3","fabio.crestoni@gmail.com","3451020970","Roma","Dsafads","Assente","ffsda","id_1359298117-2106655753","2013-01-27 02:48:37","2013-01-28 11:31:35",
"5","Paol","Martoni","3","1981-12-12","Milano","Maschio","3","fabio.crestoni@gmail.com","3451020970","Roma","Via g. a. pasquale, 49","0","","id_1359298142-370780363","2013-01-27 02:49:02","2013-01-28 09:34:26",
"6","Fdgfds","Ggg","1","1981-12-12","Vvv","Maschio","4","","","Vsdfs","Dgsdfgsdf","0","gsdfgsdf","id_1359298409-1440720353","2013-01-27 02:53:29","2013-01-27 11:55:12",
"3","Paol","Martoni","1","1981-12-12","Milano","Maschio","3","fabio.crestoni@gmail.com","3451020970","Roma","0","0","","id_1359298034-1511009916","2013-01-27 02:47:14","2013-01-28 09:34:12",
"8","Dsafasd","Fasdf","2","1981-12-12","","Femmina","5","","","Sdfsdafasdf","Dfssadf","0","dsaf","id_1359328030-1052590737","2013-01-27 11:07:10","2013-01-28 08:55:11",
"9","Simone","Trimarchi","1","1981-12-12","","Femmina","6","","","","","Assente","","id_1359467825-1171101682","2013-01-29 01:57:05","2013-01-29 01:57:05",
"10","Fsdafasd","Sdfads","1","1981-12-12","","Maschio","7","","","","","Assente","","id_1359467911-640281060","2013-01-29 01:58:31","2013-01-29 01:58:31",
"11","Fdsa","Fasdfads","1","1981-12-12","","Maschio","8","","","","","Assente","","id_1359467993-681101236","2013-01-29 01:59:53","2013-01-29 01:59:53",
"12","Fdsgsdf","Fdsgs","1","1981-12-12","","Maschio","9","","","","","Assente","","id_1359468084-1558091926","2013-01-29 02:01:24","2013-01-29 02:01:24",
"13","Cxzvzxc","Xczvzxcv","1","1981-12-12","","Maschio","10","","","","","Assente","","id_1359468137-1057526852","2013-01-29 02:02:17","2013-01-29 02:02:17",
